고객ID,2024관측일수,2025관측일수,2024시간값완전도,2025시간값완전도,2개년핵심표본
M0001,366,365,0.9992030965391621,0.9992009132420091,Y
M0002,310,344,0.9950268817204301,0.9957606589147286,N
M0003,366,365,1.0,1.0,Y
M0004,366,270,0.9993169398907104,0.9966049382716049,N
M0005,205,174,0.9908536585365854,0.9949712643678161,N
M0006,366,365,0.998747723132969,0.9981735159817352,Y
M0007,179,223,0.9953445065176909,0.9964499252615845,N
M0008,366,365,0.9981785063752276,0.9986301369863013,Y
M0009,366,365,0.9982923497267759,0.9969178082191781,Y
M0010,355,365,0.9931924882629108,0.9987442922374429,N
M0011,337,365,0.9904797230464887,0.9968036529680365,N
M0012,357,353,0.9803921568627451,0.9491265344664778,N
M0013,366,365,0.9989754098360656,0.9981735159817352,Y
M0014,330,365,0.9954545454545455,0.9986301369863013,N
M0015,366,336,0.9986338797814208,0.9959077380952381,N
M0016,338,365,0.9977810650887574,0.9985159817351598,N
M0017,366,365,0.9989754098360656,0.9986301369863013,Y
M0018,366,272,0.9992030965391621,0.9963235294117647,N
M0019,366,316,0.9992030965391621,0.9965717299578059,N
M0020,366,365,0.998747723132969,0.9984018264840183,Y
M0021,366,365,0.9985200364298725,0.9981735159817352,Y
M0022,366,365,0.9985200364298725,0.9984018264840183,Y
M0023,219,238,0.9969558599695586,0.9924719887955182,N
M0024,366,365,0.9985200364298725,0.9985159817351598,Y
M0025,349,365,0.9480659025787965,0.9984018264840183,N
M0026,366,365,0.9993169398907104,0.9994292237442922,Y
M0027,366,365,0.998747723132969,0.9984018264840183,Y
M0028,366,365,0.9994307832422586,0.998972602739726,Y
M0029,366,365,1.0,1.0,Y
M0030,366,365,0.9985200364298725,0.9981735159817352,Y
M0031,332,365,0.995105421686747,0.9984018264840183,N
M0032,146,365,0.9937214611872146,0.9964611872146119,N
M0033,346,365,0.9896435452793835,0.9982876712328768,N
M0034,366,365,0.9921448087431693,0.9979452054794521,N
M0035,366,365,0.9985200364298725,0.9984018264840183,Y
M0036,366,365,0.9985200364298725,0.9985159817351598,Y
M0037,341,365,0.9949902248289345,0.9984018264840183,N
M0038,366,365,0.9985200364298725,0.9982876712328768,Y
M0039,92,344,0.9918478260869565,0.9987887596899225,N
M0040,366,365,1.0,0.998972602739726,Y
M0041,338,345,0.9960552268244576,0.9952898550724638,N
M0042,301,365,0.9948781838316723,0.9982876712328768,N
M0043,331,365,0.995845921450151,0.9984018264840183,N
M0044,264,365,0.9941603535353535,0.9984018264840183,N
M0045,282,195,0.9967494089834515,0.9927350427350428,N
M0046,179,211,0.9960428305400373,0.9956556082148499,N
M0047,352,365,0.9950284090909091,0.9970319634703196,N
M0048,366,365,0.9990892531876139,0.9987442922374429,Y
M0049,366,365,0.9990892531876139,0.9986301369863013,Y
M0050,366,365,0.9985200364298725,0.9982876712328768,Y
M0051,329,365,0.9973404255319149,0.9969178082191781,N
M0052,325,365,0.9967948717948718,0.9969178082191781,N
M0053,366,365,0.9988615664845173,0.9981735159817352,Y
M0054,366,365,0.9988615664845173,0.9995433789954338,Y
M0055,366,365,0.9993169398907104,0.9987442922374429,Y
M0056,366,365,0.9989754098360656,0.9984018264840183,Y
M0057,366,364,0.9990892531876139,0.9958791208791209,N
M0058,366,365,0.9988615664845173,0.9964611872146119,Y
M0059,366,329,0.9989754098360656,0.9925278622087133,N
M0060,200,364,0.993125,0.9946199633699634,N
M0061,366,365,0.9990892531876139,0.9986301369863013,Y
M0062,366,364,0.994535519125683,0.985691391941392,N
M0063,366,365,0.998747723132969,0.9984018264840183,Y
M0064,366,365,0.9989754098360656,0.9984018264840183,Y
M0065,366,365,0.9974954462659381,0.9982876712328768,Y
M0066,366,353,0.9993169398907104,0.9958687440982058,N
M0067,366,365,0.9992030965391621,0.998972602739726,Y
M0068,366,365,0.9992030965391621,0.9994292237442922,Y
M0069,366,365,1.0,1.0,Y
M0070,366,361,0.9989754098360656,0.996191135734072,N
M0071,366,365,0.998747723132969,0.9986301369863013,Y
M0072,163,280,0.9936094069529653,0.9943452380952381,N
M0073,366,163,0.9992030965391621,0.9976993865030674,N
M0074,366,365,0.9986338797814208,0.9985159817351598,Y
M0075,366,365,0.9989754098360656,0.9987442922374429,Y
M0076,366,365,0.9985200364298725,0.9981735159817352,Y
M0077,366,338,0.9992030965391621,0.9976577909270217,N
M0078,366,365,0.9902094717668488,0.9955479452054794,N
M0079,366,365,0.9972677595628415,0.9932648401826484,N
M0080,176,165,0.9945549242424242,0.9914141414141414,N
M0081,162,104,0.996141975308642,0.9923878205128205,N
M0082,366,365,0.9988615664845173,0.9982876712328768,Y
M0083,366,365,0.9985200364298725,0.9980593607305936,Y
M0084,366,365,0.993283242258652,0.9972602739726028,N
M0085,366,353,0.9998861566484517,0.9970491029272899,N
M0086,366,365,0.9990892531876139,0.9984018264840183,Y
M0087,165,137,0.9946969696969697,0.9945255474452555,N
M0088,366,365,0.9978369763205829,0.9984018264840183,Y
M0089,169,365,0.9953155818540433,0.9985159817351598,N
M0090,366,365,0.9985200364298725,0.9987442922374429,Y
M0091,366,365,0.9985200364298725,0.9985159817351598,Y
M0092,366,365,0.9985200364298725,0.9980593607305936,Y
M0093,366,365,0.998747723132969,0.9939497716894977,N
M0094,366,354,0.9989754098360656,0.9942325800376648,N
M0095,366,365,0.9971539162112932,0.9982876712328768,Y
M0096,366,365,0.9985200364298725,0.9984018264840183,Y
M0097,366,365,0.9988615664845173,0.9986301369863013,Y
M0098,366,365,0.9988615664845173,0.9988584474885844,Y
M0099,366,365,0.9988615664845173,0.9984018264840183,Y
M0100,342,356,0.9911062378167641,0.9939138576779026,N
M0101,349,318,0.9905682903533907,0.9722222222222222,N
M0102,366,290,0.9992030965391621,0.9946839080459771,N
