고객ID,연도,월,추천요금제,일반 주택용_요금원,제주 TOU(3kW)_요금원,구독 기본형_요금원,구독 프리미엄형_요금원
M0001,2024,1,구독 기본형,154037.26940210004,138598.7112083,130875.30000000002,249900
M0001,2024,2,구독 기본형,131881.33950670002,123403.4725399,111683.1,249900
M0001,2024,3,제주 TOU(3kW),171512.93486809995,124662.3174524,146013.29999999996,249900
M0001,2024,4,제주 TOU(3kW),143801.2256345,111648.2331104,122008.49999999997,249900
M0001,2024,5,제주 TOU(3kW),159478.41447019996,118876.56835459996,135588.59999999998,249900
M0001,2024,6,구독 기본형,169572.46412680007,146394.46829980004,144332.40000000005,249900
M0001,2024,7,제주 TOU(3kW),198053.5006387,197886.46413689997,223664.1,249900
M0001,2024,8,제주 TOU(3kW),238413.8300908,227724.39602639998,268004.4,268004.39999999997
M0001,2024,9,제주 TOU(3kW),252342.5630642,163393.8590578,216030.6,249900
M0001,2024,10,제주 TOU(3kW),148907.47239689998,114639.978355,126431.69999999998,249900
M0001,2024,11,구독 기본형,151680.51348660002,137650.383647,128833.80000000002,249900
M0001,2024,12,제주 TOU(3kW),188374.56238579997,158831.2067706,160619.39999999997,249900
M0001,2025,1,제주 TOU(3kW),197160.88091280006,162796.0306378,168230.40000000002,249900
M0001,2025,2,구독 기본형,136532.16613259996,126732.95252379999,115711.79999999997,249900
M0001,2025,3,제주 TOU(3kW),179082.60629280005,128970.37773480003,152570.40000000002,249900
M0001,2025,4,제주 TOU(3kW),160394.79597680003,120211.2733276,136382.40000000002,249900
M0001,2025,5,제주 TOU(3kW),165764.59766230002,123060.8714146,141033.89999999997,249900
M0001,2025,6,제주 TOU(3kW),195612.10612159997,161787.85317799996,166888.8,249900
M0001,2025,7,제주 TOU(3kW),241440.5612472,229659.0204552,271329.6,271329.6
M0001,2025,8,제주 TOU(3kW),281243.82361529995,259199.32066069994,315057.8999999999,315057.8999999999
M0001,2025,9,제주 TOU(3kW),282089.2903374,178203.768988,241798.19999999998,249900
M0001,2025,10,제주 TOU(3kW),180077.95037820007,127981.00404460002,153432.60000000003,249900
M0001,2025,11,제주 TOU(3kW),173941.0341662,145867.7878406,148116.59999999998,249900
M0001,2025,12,제주 TOU(3kW),226294.9555461,177477.2278139,193467.30000000002,249900
M0003,2024,1,구독 기본형,104736.91406290002,110104.25900110001,88169.70000000001,249900
M0003,2024,2,구독 기본형,99553.09003010001,106653.7968069,84900,249900
M0003,2024,3,일반 주택용,22292.06,40388.7761718,84900,249900
M0003,2024,4,일반 주택용,14529.284,31075.5369092,84900,249900
M0003,2024,5,일반 주택용,16789.27964,33828.0878992,84900,249900
M0003,2024,6,일반 주택용,17224.211480000005,37997.6323307,84900,249900
M0003,2024,7,일반 주택용,19410.7718,45530.33229499999,84900,249900
M0003,2024,8,일반 주택용,22355.893280000004,51156.43463,84900,249900
M0003,2024,9,일반 주택용,25674.818119999996,45461.77508179999,84900,249900
M0003,2024,10,일반 주택용,17067.19784,34233.723148799996,84900,249900
M0003,2024,11,일반 주택용,71444.3850162,92943.4680937,84900,249900
M0003,2024,12,제주 TOU(3kW),202713.5433071001,168705.10520430008,173040.30000000008,249900
M0003,2025,1,구독 기본형,134088.82844209997,128332.86392569999,113595.29999999999,249900
M0003,2025,2,일반 주택용,64974.543312,85362.3522094,84900,249900
M0003,2025,3,일반 주택용,34986.55734559999,52270.0213014,84900,249900
M0003,2025,4,일반 주택용,24675.80024,44230.6332944,84900,249900
M0003,2025,5,일반 주택용,24139.57364,43287.01602959999,84900,249900
M0003,2025,6,일반 주택용,27626.466560000004,54122.703138000004,84900,249900
M0003,2025,7,일반 주택용,61124.503944,101005.18816919999,84900,249900
M0003,2025,8,일반 주택용,92270.01132440001,120761.0870396,107449.2,249900
M0003,2025,9,제주 TOU(3kW),123376.23858489998,101740.47339819999,104315.69999999998,249900
M0003,2025,10,일반 주택용,68500.29383960001,75730.16315620003,84900,249900
M0003,2025,11,일반 주택용,49881.873815199986,71154.77306419998,84900,249900
M0003,2025,12,일반 주택용,67140.34767299998,84017.47031369999,84900,249900
M0006,2024,1,제주 TOU(3kW),209547.96229850003,165526.0886237,178960.50000000003,249900
M0006,2024,2,제주 TOU(3kW),165042.15933169995,136823.5692257,140408.09999999998,249900
M0006,2024,3,제주 TOU(3kW),178407.96110200003,125426.09143820002,151986.00000000003,249900
M0006,2024,4,구독 기본형,107118.60552960004,92070.83255720002,90232.80000000003,249900
M0006,2024,5,구독 기본형,104563.40418580001,90700.35570260002,88019.40000000001,249900
M0006,2024,6,구독 기본형,106845.0071206,108113.94713560001,89995.8,249900
M0006,2024,7,일반 주택용,164034.997637,175686.94717839998,186290.99999999997,249900
M0006,2024,8,일반 주택용,192918.3797982,197735.9565552,218022.60000000003,249900
M0006,2024,9,제주 TOU(3kW),187872.73441790006,133676.89405140004,160184.70000000007,249900
M0006,2024,10,구독 기본형,105141.42411569995,91202.61993219997,88520.09999999996,249900
M0006,2024,11,제주 TOU(3kW),178276.35680399998,145710.23143739998,151871.99999999997,249900
M0006,2024,12,제주 TOU(3kW),216983.95146260003,167405.53727380003,185401.80000000005,249900
M0006,2025,1,제주 TOU(3kW),240536.61855230006,183810.61303430004,205803.90000000002,249900
M0006,2025,2,제주 TOU(3kW),229832.34054550002,177229.5968373,196531.5,249900
M0006,2025,3,제주 TOU(3kW),182272.971538,126443.5003804,155334.0,249900
M0006,2025,4,제주 TOU(3kW),144416.99521830003,108826.47530440001,122541.90000000002,249900
M0006,2025,5,구독 기본형,103067.96376800002,89980.8619976,86724.00000000001,249900
M0006,2025,6,구독 기본형,127729.22390479998,120025.45672319994,108086.39999999997,249900
M0006,2025,7,일반 주택용,164980.10017509997,177553.4260871,187329.3,249900
M0006,2025,8,일반 주택용,207047.13025220006,209207.97919420004,233544.60000000006,249900
M0006,2025,9,제주 TOU(3kW),194206.71074980008,135358.05820880004,165671.40000000005,249900
M0006,2025,10,제주 TOU(3kW),157881.50021209999,117379.47845960002,134205.3,249900
M0006,2025,11,제주 TOU(3kW),196583.55363709995,158098.43734369994,167730.29999999996,249900
M0006,2025,12,제주 TOU(3kW),219013.42826860002,169199.73434700002,187159.80000000005,249900
M0008,2024,1,제주 TOU(3kW),194388.53247729997,161612.2619573,165828.89999999997,249900
M0008,2024,2,구독 기본형,138079.20928830004,129076.03139270002,117051.90000000004,249900
M0008,2024,3,제주 TOU(3kW),128029.14317340004,104031.20751240001,108346.20000000004,249900
M0008,2024,4,구독 기본형,102728.56320999998,91454.70886999999,86429.99999999999,249900
M0008,2024,5,제주 TOU(3kW),87928.62091859999,84465.8412906,84900,249900
M0008,2024,6,구독 기본형,117977.34542300002,117682.2981754,99639.00000000001,249900
M0008,2024,7,일반 주택용,201645.21797,204255.33486819998,227609.99999999997,249900
M0008,2024,8,일반 주택용,170117.95173660002,179982.7105384,192973.80000000005,249900
M0008,2024,9,제주 TOU(3kW),161128.31677459998,120791.1921398,137017.8,249900
M0008,2024,10,구독 기본형,98304.58083459998,90318.10953480001,84900,249900
M0008,2024,11,구독 기본형,101680.23107829996,108530.51259469998,85521.89999999997,249900
M0008,2024,12,구독 기본형,169020.07240229996,149415.32722269997,143853.89999999997,249900
M0008,2025,1,제주 TOU(3kW),187448.8300475,158292.46098749997,159817.49999999997,249900
M0008,2025,2,구독 기본형,158651.03902830003,141060.7862881,134871.90000000002,249900
M0008,2025,3,제주 TOU(3kW),145079.17263349995,112708.75926939999,123115.49999999997,249900
M0008,2025,4,구독 기본형,104779.16596909998,92436.77080959998,88206.29999999999,249900
M0008,2025,5,구독 기본형,100931.12556100002,90856.62845280003,84900,249900
M0008,2025,6,구독 기본형,109409.21296900003,111574.92829700003,92217.00000000001,249900
M0008,2025,7,일반 주택용,134325.2993012,154702.8802228,153651.6,249900
M0008,2025,8,일반 주택용,153561.59031360006,169280.59817480002,174784.80000000005,249900
M0008,2025,9,제주 TOU(3kW),165389.17908590005,122205.16961660005,140708.70000000004,249900
M0008,2025,10,제주 TOU(3kW),126158.28417919995,103669.31609159998,106725.59999999995,249900
M0008,2025,11,구독 기본형,128696.16916800002,124185.01153940002,108924.00000000001,249900
M0008,2025,12,구독 기본형,156279.0447204,140472.75048380002,132817.2,249900
M0009,2024,1,구독 기본형,121114.02996769996,118622.37451889997,102356.09999999998,249900
M0009,2024,2,구독 기본형,119790.36779149999,117644.12251549998,101209.49999999999,249900
M0009,2024,3,구독 기본형,108858.55288,95201.92819620001,91740.0,249900
M0009,2024,4,구독 기본형,107455.92812500003,94403.32652940003,90525.00000000003,249900
M0009,2024,5,구독 기본형,101539.27594859998,90921.1568664,85399.79999999999,249900
M0009,2024,6,구독 기본형,121435.0751894,118498.98526199997,102634.2,249900
M0009,2024,7,제주 TOU(3kW),240253.5168285,236796.8412579,270025.5,270025.5
M0009,2024,8,제주 TOU(3kW),272035.2862591001,258080.66992750007,304941.30000000005,304941.30000000005
M0009,2024,9,제주 TOU(3kW),277637.94812109997,179810.242122,237942.3,249900
M0009,2024,10,제주 TOU(3kW),138405.7957436,109998.50706880001,117334.79999999999,249900
M0009,2024,11,구독 기본형,100796.05799200003,107431.6415004,84900,249900
M0009,2024,12,구독 기본형,109591.38102359998,111855.53010939999,92374.79999999999,249900
M0009,2025,1,구독 기본형,105615.1995885,109813.11275129998,88930.5,249900
M0009,2025,2,일반 주택용,84313.31232169998,97774.93692889997,84900,249900
M0009,2025,3,구독 기본형,91059.41790260003,86626.03071220002,84900,249900
M0009,2025,4,제주 TOU(3kW),83843.69277410001,82614.89210380001,84900,249900
M0009,2025,5,구독 기본형,99851.27766320005,90415.99962780002,84900,249900
M0009,2025,6,구독 기본형,181488.54065649997,155334.25593909997,154654.49999999994,249900
M0009,2025,7,일반 주택용,206292.6320399,209244.4276139,232715.7,249900
M0009,2025,8,제주 TOU(3kW),272794.4266971,260961.47847629996,305775.3,305775.3
M0009,2025,9,제주 TOU(3kW),255683.23427080002,168990.60912860002,218924.40000000002,249900
M0009,2025,10,제주 TOU(3kW),136104.105837,107996.9257668,115341.0,249900
M0009,2025,11,구독 기본형,102010.97345879997,106649.22603299997,85808.39999999997,249900
M0009,2025,12,구독 기본형,97327.24575839998,104081.25036959998,84900,249900
M0013,2024,1,일반 주택용,47512.1863636,71190.78251740002,84900,249900
M0013,2024,2,일반 주택용,45567.1948872,68791.35038019999,84900,249900
M0013,2024,3,일반 주택용,39965.12605259998,56453.08105499999,84900,249900
M0013,2024,4,일반 주택용,33249.0767728,51421.5589006,84900,249900
M0013,2024,5,일반 주택용,30025.643995199996,49128.75290959999,84900,249900
M0013,2024,6,일반 주택용,41206.56366120001,66279.72133580002,84900,249900
M0013,2024,7,일반 주택용,108429.87205820002,133513.01810840002,125202.60000000003,249900
M0013,2024,8,일반 주택용,100327.54977909998,126000.04244729999,116301.29999999999,249900
M0013,2024,9,제주 TOU(3kW),130599.23658249997,104635.8959814,110572.49999999997,249900
M0013,2024,10,일반 주택용,40987.685610199995,56590.63163039999,84900,249900
M0013,2024,11,일반 주택용,56838.08431559999,78298.14490539997,84900,249900
M0013,2024,12,일반 주택용,68493.76377620001,90550.5103461,84900,249900
M0013,2025,1,일반 주택용,66759.66916220002,88360.38780450003,84900,249900
M0013,2025,2,일반 주택용,51107.34904660001,73424.4321657,84900,249900
M0013,2025,3,일반 주택용,51061.15489440001,63855.09240880001,84900,249900
M0013,2025,4,일반 주택용,61700.80486080002,71759.1322238,84900,249900
M0013,2025,5,일반 주택용,51192.965433399986,63707.46893279999,84900,249900
M0013,2025,6,일반 주택용,59304.9971556,80083.2666984,84900,249900
M0013,2025,7,일반 주택용,80792.24481719999,111946.37014119998,94839.59999999998,249900
M0013,2025,8,일반 주택용,117028.36634300002,140782.0998122,134649.0,249900
M0013,2025,9,구독 기본형,97527.42282220002,88496.62598840002,84900,249900
M0013,2025,10,제주 TOU(3kW),86397.85513660003,83483.32967800001,84900,249900
M0013,2025,11,일반 주택용,56380.01246080001,77826.2749642,84900,249900
M0013,2025,12,일반 주택용,59693.4150008,80883.02894979999,84900,249900
M0017,2024,1,제주 TOU(3kW),229643.59227599998,172745.3651546,196368.0,249900
M0017,2024,2,제주 TOU(3kW),169732.46724700002,137961.3326392,144471.0,249900
M0017,2024,3,제주 TOU(3kW),198458.9148836,132227.628176,169354.8,249900
M0017,2024,4,제주 TOU(3kW),149105.57149810006,111072.66068640005,126603.30000000006,249900
M0017,2024,5,제주 TOU(3kW),138113.49567119998,105421.423772,117081.59999999998,249900
M0017,2024,6,구독 기본형,152696.9835251,131731.34797829998,129714.29999999999,249900
M0017,2024,7,제주 TOU(3kW),239641.5622524,224039.16079860003,269353.2,269353.2
M0017,2024,8,제주 TOU(3kW),259750.04555220006,236856.74502700003,291444.6000000001,291444.60000000003
M0017,2024,9,제주 TOU(3kW),326716.30778920004,198235.28134340004,280455.60000000003,280455.60000000003
M0017,2024,10,제주 TOU(3kW),164963.19675289994,119995.31646059998,140339.69999999992,249900
M0017,2024,11,구독 기본형,107949.79056960001,106914.2123588,90952.80000000002,249900
M0017,2024,12,제주 TOU(3kW),194923.26151970006,152470.3965687,166292.10000000003,249900
M0017,2025,1,제주 TOU(3kW),492448.02455030003,317031.87653829996,424017.9,424017.9
M0017,2025,2,제주 TOU(3kW),319817.8182843001,227613.9149767,274479.9,274479.9000000001
M0017,2025,3,제주 TOU(3kW),120214.96481610002,97333.79453000001,101577.30000000002,249900
M0017,2025,4,제주 TOU(3kW),114991.31316679998,94249.0100258,97052.39999999998,249900
M0017,2025,5,제주 TOU(3kW),123366.19509900002,99388.28690420002,104307.00000000001,249900
M0017,2025,6,제주 TOU(3kW),211723.5891407,167012.6911075,180845.1,249900
M0017,2025,7,제주 TOU(3kW),289380.55297900003,264896.1698572,323997.0,323997.0
M0017,2025,8,제주 TOU(3kW),338042.27427110006,301708.23875990004,377457.3000000001,377457.30000000005
M0017,2025,9,제주 TOU(3kW),355345.0911836001,214420.19866820003,305254.80000000005,305254.80000000005
M0017,2025,10,제주 TOU(3kW),229441.68357669996,152425.1715238,196193.09999999998,249900
