연도,계절,일유형,시간,고객당평균_kWh
2024,봄가을,주중,1,0.7099459397344232
2024,봄가을,주중,2,0.6207210163432078
2024,봄가을,주중,3,0.5660188329928499
2024,봄가을,주중,4,0.5347194075587322
2024,봄가을,주중,5,0.5250687053115409
2024,봄가을,주중,6,0.5396329034729316
2024,봄가을,주중,7,0.6190217185903981
2024,봄가을,주중,8,0.7550448544433125
2024,봄가을,주중,9,0.7063048008171618
2024,봄가을,주중,10,0.6701231741573008
2024,봄가을,주중,11,0.6405465143003056
2024,봄가을,주중,12,0.632486069969355
2024,봄가을,주중,13,0.6362050817160363
2024,봄가을,주중,14,0.6282154622063315
2024,봄가을,주중,15,0.6244758682328918
2024,봄가을,주중,16,0.6364969994892746
2024,봄가을,주중,17,0.6918314606741574
2024,봄가을,주중,18,0.7970102017364669
2024,봄가을,주중,19,0.9251777834525015
2024,봄가을,주중,20,1.015225140449437
2024,봄가을,주중,21,1.0311782048008173
2024,봄가을,주중,22,1.0102341419816114
2024,봄가을,주중,23,0.9474680796731362
2024,봄가을,주중,24,0.8350322395301322
2024,봄가을,주말,1,0.7501693885550023
2024,봄가을,주말,2,0.6529164162529407
2024,봄가을,주말,3,0.592241507708387
2024,봄가을,주말,4,0.5552158348575893
2024,봄가을,주말,5,0.5375603605957672
2024,봄가을,주말,6,0.5415209041024274
2024,봄가을,주말,7,0.5746252613012801
2024,봄가을,주말,8,0.6440715638881621
2024,봄가을,주말,9,0.7193169911157556
2024,봄가을,주말,10,0.7762401358766652
2024,봄가을,주말,11,0.7826480598379923
2024,봄가을,주말,12,0.7909479357198844
2024,봄가을,주말,13,0.7995241050431143
2024,봄가을,주말,14,0.7839114188659512
2024,봄가을,주말,15,0.7736344068460931
2024,봄가을,주말,16,0.7656392735824409
2024,봄가을,주말,17,0.800447739743923
2024,봄가을,주말,18,0.8756141559968664
2024,봄가을,주말,19,0.9718868892082565
2024,봄가을,주말,20,1.0309611967598644
2024,봄가을,주말,21,1.0397329174287955
2024,봄가을,주말,22,1.016080056179773
2024,봄가을,주말,23,0.9560777044682505
2024,봄가을,주말,24,0.8482710020904102
2024,여름,주중,1,0.9623203111495242
2024,여름,주중,2,0.8354983146067405
2024,여름,주중,3,0.7561600475367338
2024,여름,주중,4,0.7056575194468447
2024,여름,주중,5,0.6807802722558345
